top - 03:20:00 up  2:06,  1 user,  load average: 0.00, 0.03, 0.01
Tasks: 318 total,   1 running, 317 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.6 us, 21.1 sy,  0.0 ni, 76.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    193.0 free,   2062.6 used,   1813.4 buff/cache     
MiB Swap:   3731.0 total,   3730.5 free,      0.5 used.   1805.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   7420 viswa     20   0   14500   5232   3184 R   5.6   0.1   0:00.10 top
      1 root      20   0   23272  14012   9404 S   0.0   0.4   0:03.81 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.04 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.15 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:01.38 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.06 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:01.25 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.21 ksoftir+
     28 root      20   0       0      0      0 I   0.0   0.0   0:03.81 kworker+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     33 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.03 khungta+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     40 root      20   0       0      0      0 S   0.0   0.0   0:00.57 kcompac+
     41 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     42 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     56 root      20   0       0      0      0 S   0.0   0.0   0:01.05 kswapd0
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     58 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     59 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     60 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     62 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
     65 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     92 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    178 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    179 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    185 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    186 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    190 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    193 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    194 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    196 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    198 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    199 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    200 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    201 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    202 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    203 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    204 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    205 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    206 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    207 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    208 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    209 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    210 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    212 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    213 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    214 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    215 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    216 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    218 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    220 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    221 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    222 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    223 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    224 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    225 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    226 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    227 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    228 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    229 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    230 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    231 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    232 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    233 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    234 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    235 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    236 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    238 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    239 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    240 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    241 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    242 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    243 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    244 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    245 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    246 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    247 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    248 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    249 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    250 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    251 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    326 root      20   0       0      0      0 S   0.0   0.0   0:01.08 jbd2/sd+
    327 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    375 root      19  -1   67236  18564  17156 S   0.0   0.5   0:01.33 systemd+
    422 root      20   0   31772   9712   4848 S   0.0   0.2   0:00.39 systemd+
    473 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    620 systemd+  20   0   17560   7632   6736 S   0.0   0.2   0:00.78 systemd+
    622 systemd+  20   0   21716  13180  10876 S   0.0   0.3   0:00.36 systemd+
    623 systemd+  20   0   91048   7824   6928 S   0.0   0.2   0:00.12 systemd+
    686 avahi     20   0    8672   4456   4072 S   0.0   0.1   0:00.28 avahi-d+
    687 message+  20   0   12192   7312   4624 S   0.0   0.2   0:00.84 dbus-da+
    691 gnome-r+  20   0  439076  16220  13916 S   0.0   0.4   0:00.10 gnome-r+
    697 polkitd   20   0  391008  12284   8156 S   0.0   0.3   0:00.91 polkitd
    699 root      20   0  313376   7240   6600 S   0.0   0.2   0:00.05 power-p+
    709 root      20   0 1996412  41320  25592 S   0.0   1.0   0:07.01 snapd
    716 root      20   0  313292   7616   6848 S   0.0   0.2   0:00.36 account+
    727 root      20   0    9424   2620   2492 S   0.0   0.1   0:00.08 cron
    735 root      20   0  309864   6696   6056 S   0.0   0.2   0:00.11 switche+
    755 root      20   0   18276   8792   7768 S   0.0   0.2   0:00.23 systemd+
    764 root      20   0  543196  14368  11680 S   0.0   0.4   0:00.33 udisksd
    805 syslog    20   0  222564   6032   4368 S   0.0   0.2   0:00.20 rsyslogd
    815 avahi     20   0    8480   1424   1152 S   0.0   0.0   0:00.00 avahi-d+
    824 root      20   0  336316  18952  16136 S   0.0   0.5   0:00.87 Network+
    827 root      20   0   17380   6280   5512 S   0.0   0.2   0:00.08 wpa_sup+
    861 root      20   0  392092  12504  10584 S   0.0   0.3   0:00.15 ModemMa+
    885 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
    887 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
    889 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
    900 root     -51   0       0      0      0 S   0.0   0.0   0:01.80 irq/16-+
    901 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    920 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1222 root      20   0   38216  11948   9900 S   0.0   0.3   0:00.06 cupsd
   1231 root      20   0  112256  22688  13472 S   0.0   0.6   0:00.12 unatten+
   1282 cups-br+  20   0  268352  19972  17028 S   0.0   0.5   0:00.05 cups-br+
   1293 kernoops  20   0   12744   2232   1824 S   0.0   0.1   0:00.01 kernelo+
   1297 root      20   0  314824   9224   8200 S   0.0   0.2   0:00.11 gdm3
   1302 kernoops  20   0   12744   2340   1948 S   0.0   0.1   0:00.01 kernelo+
   1377 rtkit     21   1   88476   3376   3120 S   0.0   0.1   0:00.18 rtkit-d+
   1492 colord    20   0  320060  14580   9972 S   0.0   0.4   0:00.16 colord
   1532 root      20   0  316564   9000   7464 S   0.0   0.2   0:00.08 upowerd
   1853 root      20   0  390048  10788   9252 S   0.0   0.3   0:00.10 gdm-ses+
   1866 viswa     20   0   21616  12868   9416 S   0.0   0.3   0:01.57 systemd
   1869 viswa     20   0   21460   3676   1860 S   0.0   0.1   0:00.00 (sd-pam)
   1878 viswa     20   0  115160  14512   9152 S   0.0   0.4   0:08.90 pipewire
   1889 viswa     20   0   97736   5936   5168 S   0.0   0.1   0:00.01 pipewire
   1890 viswa     20   0   39136  11788  10380 S   0.0   0.3   0:00.82 snapd-d+
